trial_id,inner_optimizer.lr,inner_optimizer.clipping.upper,val_loss_best,val_loss_best_step,val_loss_final,val_loss_final_step,best_val_loss,best_step
trial_0001,0.0005,1.0,18.221485001700266,475,18.221485001700266,475,18.221485001700266,475
trial_0000,0.0005,0.5,18.87422752380371,475,18.87422752380371,475,18.87422752380371,475
trial_0003,0.0005,10.0,12.012131827218193,475,12.012131827218193,475,12.012131827218193,475
trial_0002,0.0005,5.0,15.634779521397181,475,15.634779521397181,475,15.634779521397181,475
trial_0004,0.001,0.5,17.929706709725515,475,17.929706709725515,475,17.929706709725515,475
trial_0006,0.001,5.0,9.536512783595494,475,9.536512783595494,475,9.536512783595494,475
trial_0005,0.001,1.0,17.316921506609237,475,17.316921506609237,475,17.316921506609237,475
trial_0007,0.001,10.0,3.034918853214809,475,3.034918853214809,475,3.034918853214809,475
trial_0008,0.005,0.5,15.014712469918388,475,15.014712469918388,475,15.014712469918388,475
trial_0009,0.005,1.0,9.465542180197579,475,9.465542180197579,475,9.465542180197579,475
trial_0011,0.005,10.0,1.1491607853344508,350,1.1560095037732805,475,1.1491607853344508,350
trial_0010,0.005,5.0,1.143466659954616,350,1.1470494610922677,475,1.143466659954616,350
trial_0012,0.01,0.5,9.465542180197579,475,9.465542180197579,475,9.465542180197579,475
trial_0015,0.01,10.0,1.1410435353006636,100,1.1530983448028564,475,1.1410435353006636,100
trial_0013,0.01,1.0,1.3158469711031233,475,1.3158469711031233,475,1.3158469711031233,475
trial_0014,0.01,5.0,1.141587802342006,300,1.1482390676225935,475,1.141587802342006,300
trial_0016,0.05,0.5,1.1364600147519792,300,1.145388160433088,475,1.1364600147519792,300
trial_0017,0.05,1.0,1.1337976625987463,300,1.154833197593689,475,1.1337976625987463,300
trial_0018,0.05,5.0,1.0697174753461565,300,1.1775180867740087,475,1.0697174753461565,300
trial_0019,0.05,10.0,1.0917735184941972,225,1.207886278629303,475,1.0917735184941972,225
trial_0020,0.1,0.5,1.1337976625987463,300,1.154833197593689,475,1.1337976625987463,300
trial_0022,0.1,5.0,1.1488012756620134,300,1.3510446889059884,475,1.1488012756620134,300
trial_0021,0.1,1.0,1.092734932899475,300,1.1392847895622253,475,1.092734932899475,300
trial_0023,0.1,10.0,1.189038804599217,300,1.4420366457530431,475,1.189038804599217,300
