trial_id,inner_optimizer.lr,inner_optimizer.clipping.upper,val_loss_best,val_loss_best_step,val_loss_final,val_loss_final_step,best_val_loss,best_step
trial_0002,0.001,1.0,10.512802805219378,475,10.512802805219378,475,10.512802805219378,475
trial_0000,0.001,0.1,20.09236008780343,475,20.09236008780343,475,20.09236008780343,475
trial_0003,0.001,5.0,6.511861562728882,475,6.511861562728882,475,6.511861562728882,475
trial_0001,0.001,0.5,13.552465438842773,475,13.552465438842773,475,13.552465438842773,475
trial_0004,0.001,10.0,6.6440457957131525,475,6.6440457957131525,475,6.6440457957131525,475
trial_0006,0.005,0.5,5.790326288768223,225,5.967097725187029,475,5.790326288768223,225
trial_0007,0.005,1.0,5.812208005360195,150,5.936580317361014,475,5.812208005360195,150
trial_0005,0.005,0.1,9.57263980593,475,9.57263980593,475,9.57263980593,475
trial_0008,0.005,5.0,5.917072670800345,125,6.423637969153268,475,5.917072670800345,125
trial_0009,0.005,10.0,5.9246432440621515,125,6.578377042497907,475,5.9246432440621515,125
trial_0010,0.01,0.1,5.769720486232212,375,5.8358387265886575,475,5.769720486232212,375
trial_0011,0.01,0.5,5.858756644385202,200,5.999091284615653,475,5.858756644385202,200
trial_0012,0.01,1.0,5.834668431963239,450,6.002588868141174,475,5.834668431963239,450
trial_0013,0.01,5.0,6.059715832982745,275,6.704741375786917,475,6.059715832982745,275
trial_0014,0.01,10.0,6.127139517239162,275,6.755466256822858,475,6.127139517239162,275
trial_0015,0.05,0.1,5.828250305993216,200,5.92695495060512,475,5.828250305993216,200
trial_0016,0.05,0.5,5.812453440257481,275,6.378818239484515,475,5.812453440257481,275
trial_0017,0.05,1.0,6.039097002574375,275,7.238404273986816,475,6.039097002574375,275
trial_0018,0.05,5.0,5.883211272103446,300,8.46913228716169,475,5.883211272103446,300
trial_0019,0.05,10.0,5.967892510550363,300,9.769100257328578,475,5.967892510550363,300
trial_0020,0.1,0.1,5.837055461747306,100,6.220025369099209,475,5.837055461747306,100
trial_0021,0.1,0.5,5.869465896061489,275,7.01688153403146,475,5.869465896061489,275
trial_0022,0.1,1.0,6.0433502197265625,425,7.785675082887922,475,6.0433502197265625,425
trial_0023,0.1,5.0,6.116430112293789,425,10.382478032793317,475,6.116430112293789,425
trial_0024,0.1,10.0,6.267667770385742,100,13.843300342559814,475,6.267667770385742,100
