trial_id,inner_optimizer.lr,inner_optimizer.clipping.layer_overrides.fc1.upper,inner_optimizer.clipping.layer_overrides.fc2.upper,val_loss_best,val_loss_best_step,val_loss_final,val_loss_final_step,best_val_loss,best_step
trial_0002,0.001,0.1,5.0,17.334182466779435,475,17.334182466779435,475,17.334182466779435,475
trial_0000,0.001,0.1,0.5,20.598064422607422,475,20.598064422607422,475,20.598064422607422,475
trial_0001,0.001,0.1,1.0,20.21673039027623,475,20.21673039027623,475,20.21673039027623,475
trial_0003,0.001,0.1,10.0,16.84627560206822,475,16.84627560206822,475,16.84627560206822,475
trial_0004,0.001,0.5,0.5,20.017981665475027,475,20.017981665475027,475,20.017981665475027,475
trial_0005,0.001,0.5,1.0,19.51704978942871,475,19.51704978942871,475,19.51704978942871,475
trial_0006,0.001,0.5,5.0,16.44796453203474,475,16.44796453203474,475,16.44796453203474,475
trial_0007,0.001,0.5,10.0,16.057721410478866,475,16.057721410478866,475,16.057721410478866,475
trial_0008,0.001,1.0,0.5,19.677555356706893,475,19.677555356706893,475,19.677555356706893,475
trial_0009,0.001,1.0,1.0,19.10051713671003,475,19.10051713671003,475,19.10051713671003,475
trial_0010,0.001,1.0,5.0,15.316167150224958,475,15.316167150224958,475,15.316167150224958,475
trial_0011,0.001,1.0,10.0,14.796474048069545,475,14.796474048069545,475,14.796474048069545,475
trial_0012,0.001,5.0,0.5,17.718370846339635,475,17.718370846339635,475,17.718370846339635,475
trial_0013,0.001,5.0,1.0,16.571505546569824,475,16.571505546569824,475,16.571505546569824,475
trial_0014,0.001,5.0,5.0,9.005905560084752,475,9.005905560084752,475,9.005905560084752,475
trial_0015,0.001,5.0,10.0,7.942096301487514,475,7.942096301487514,475,7.942096301487514,475
trial_0016,0.01,0.1,0.5,14.857912744794573,475,14.857912744794573,475,14.857912744794573,475
trial_0017,0.01,0.1,1.0,11.476074354989189,475,11.476074354989189,475,11.476074354989189,475
trial_0019,0.01,0.1,10.0,8.393465791429792,475,8.393465791429792,475,8.393465791429792,475
trial_0018,0.01,0.1,5.0,8.399409770965576,475,8.399409770965576,475,8.399409770965576,475
trial_0020,0.01,0.5,0.5,7.13243293762207,475,7.13243293762207,475,7.13243293762207,475
trial_0021,0.01,0.5,1.0,5.944587060383388,475,5.944587060383388,475,5.944587060383388,475
trial_0023,0.01,0.5,10.0,6.133832556860788,475,6.133832556860788,475,6.133832556860788,475
trial_0022,0.01,0.5,5.0,6.136854103633335,475,6.136854103633335,475,6.136854103633335,475
trial_0024,0.01,1.0,0.5,5.841982960700989,450,5.848005175590515,475,5.841982960700989,450
