trial_id,inner_optimizer.lr,inner_optimizer.clipping.layer_overrides.fc1.upper,inner_optimizer.clipping.layer_overrides.fc2.upper,val_loss_best,val_loss_best_step,val_loss_final,val_loss_final_step,best_val_loss,best_step
trial_0026,0.01,1.0,5.0,5.88367623942239,475,5.88367623942239,475,5.88367623942239,475
trial_0025,0.01,1.0,1.0,5.881991420473371,325,5.924041305269514,475,5.881991420473371,325
trial_0027,0.01,1.0,10.0,5.863994223730905,475,5.863994223730905,475,5.863994223730905,475
trial_0028,0.01,5.0,0.5,5.887500694819859,225,6.057815722056797,475,5.887500694819859,225
trial_0030,0.01,5.0,5.0,5.81178845678057,200,5.9302763768604825,475,5.81178845678057,200
trial_0029,0.01,5.0,1.0,5.8539983715329855,150,6.008962903703962,475,5.8539983715329855,150
trial_0031,0.01,5.0,10.0,5.787282415798733,200,5.906435404505048,475,5.787282415798733,200
trial_0032,0.05,0.1,0.5,6.109254837036133,475,6.109254837036133,475,6.109254837036133,475
trial_0035,0.05,0.1,10.0,6.451846190861294,475,6.451846190861294,475,6.451846190861294,475
trial_0034,0.05,0.1,5.0,6.418144192014422,450,6.421692132949829,475,6.418144192014422,450
trial_0033,0.05,0.1,1.0,6.198221104485648,475,6.198221104485648,475,6.198221104485648,475
trial_0036,0.05,0.5,0.5,5.861340284347534,200,5.866932528359549,475,5.861340284347534,200
trial_0037,0.05,0.5,1.0,5.822173629488264,200,5.869082876614162,475,5.822173629488264,200
trial_0038,0.05,0.5,5.0,5.841727222715106,450,6.061508485249111,475,5.841727222715106,450
trial_0039,0.05,0.5,10.0,5.861132843153817,450,6.06124598639352,475,5.861132843153817,450
trial_0040,0.05,1.0,0.5,5.90617435319083,200,5.966228519167219,475,5.90617435319083,200
trial_0041,0.05,1.0,1.0,5.886087724140713,275,5.992091468402317,475,5.886087724140713,275
trial_0042,0.05,1.0,5.0,5.770713652883257,450,6.043372682162693,475,5.770713652883257,450
trial_0043,0.05,1.0,10.0,5.748026064464024,275,6.070189305714199,475,5.748026064464024,275
trial_0044,0.05,5.0,0.5,5.851259350776672,450,6.073970488139561,475,5.851259350776672,450
trial_0045,0.05,5.0,1.0,5.92369624546596,275,6.233235120773315,475,5.92369624546596,275
trial_0046,0.05,5.0,5.0,5.820841142109463,275,6.620012181145804,475,5.820841142109463,275
trial_0047,0.05,5.0,10.0,5.7647086552211215,275,7.525680133274624,475,5.7647086552211215,275
trial_0048,0.1,0.1,0.5,5.925892489297049,475,5.925892489297049,475,5.925892489297049,475
trial_0049,0.1,0.1,1.0,6.06603513445173,475,6.06603513445173,475,6.06603513445173,475
trial_0051,0.1,0.1,10.0,6.223429441452026,325,6.808962106704712,475,6.223429441452026,325
trial_0050,0.1,0.1,5.0,6.219654628208706,450,6.4969662598201205,475,6.219654628208706,450
trial_0052,0.1,0.5,0.5,5.915257385798863,450,6.004608563014439,475,5.915257385798863,450
trial_0053,0.1,0.5,1.0,5.821424671581814,275,5.952132531574795,475,5.821424671581814,275
trial_0055,0.1,0.5,10.0,5.715447766440255,275,6.800183875220163,475,5.715447766440255,275
trial_0054,0.1,0.5,5.0,5.7496424572808404,450,6.266251087188721,475,5.7496424572808404,450
trial_0056,0.1,1.0,0.5,5.940553290503366,450,6.059910876410348,475,5.940553290503366,450
trial_0057,0.1,1.0,1.0,5.855020523071289,275,6.028195210865566,475,5.855020523071289,275
trial_0058,0.1,1.0,5.0,5.690972634724209,450,6.376542806625366,475,5.690972634724209,450
trial_0059,0.1,1.0,10.0,5.738773039409092,450,7.308782373155866,475,5.738773039409092,450
trial_0060,0.1,5.0,0.5,5.804018701825823,275,6.490482160023281,475,5.804018701825823,275
trial_0061,0.1,5.0,1.0,5.901637809617179,275,6.97891902923584,475,5.901637809617179,275
trial_0062,0.1,5.0,5.0,6.246676581246512,275,8.897708824702672,475,6.246676581246512,275
trial_0063,0.1,5.0,10.0,6.138159138815744,275,11.702685219900948,475,6.138159138815744,275
