trial_id,inner_optimizer.lr,inner_optimizer.clipping.upper,inner_optimizer.warmup_steps,val_loss_best,val_loss_best_step,val_loss_final,val_loss_final_step,best_val_loss,best_step
trial_0001,0.0250593617,3.1,50,5.990983843803406,200,6.101833990642002,475,5.990983843803406,200
trial_0002,0.0250593617,3.1,100,5.969739573342459,125,6.132924318313599,475,5.969739573342459,125
trial_0003,0.0250593617,3.1,200,5.971172060285296,275,6.123028806277683,475,5.971172060285296,275
trial_0000,0.0250593617,3.1,20,5.930846759251186,275,6.093785439218793,475,5.930846759251186,275
trial_0004,0.0250593617,3.1,500,5.860489232199533,450,6.039403813225882,475,5.860489232199533,450
trial_0005,0.0250593617,4.366666666666667,20,5.8896898201533725,275,6.192433646747044,475,5.8896898201533725,275
trial_0007,0.0250593617,4.366666666666667,100,5.8660695893423895,275,6.148659007889884,475,5.8660695893423895,275
trial_0006,0.0250593617,4.366666666666667,50,5.895497049604144,275,6.202338899884905,475,5.895497049604144,275
trial_0008,0.0250593617,4.366666666666667,200,5.81701523917062,275,6.125857761928013,475,5.81701523917062,275
trial_0009,0.0250593617,4.366666666666667,500,5.7907578604561945,225,6.1228987489427835,475,5.7907578604561945,225
trial_0010,0.0250593617,5.633333333333333,20,5.901361158915928,275,6.225406629698617,475,5.901361158915928,275
trial_0011,0.0250593617,5.633333333333333,50,5.864331858498709,275,6.245912449700492,475,5.864331858498709,275
trial_0013,0.0250593617,5.633333333333333,200,5.802663632801601,275,6.1505898748125345,475,5.802663632801601,275
trial_0012,0.0250593617,5.633333333333333,100,5.8155147688729425,275,6.242616176605225,475,5.8155147688729425,275
trial_0014,0.0250593617,5.633333333333333,500,5.826256087848118,450,6.201720987047468,475,5.826256087848118,450
trial_0015,0.0250593617,6.9,20,5.873991199902126,275,6.23165077822549,475,5.873991199902126,275
trial_0017,0.0250593617,6.9,100,5.817571691104344,275,6.299403258732387,475,5.817571691104344,275
trial_0016,0.0250593617,6.9,50,5.878705603735788,275,6.354868684496198,475,5.878705603735788,275
trial_0018,0.0250593617,6.9,200,5.794981803212847,275,6.261047192982265,475,5.794981803212847,275
trial_0019,0.0250593617,6.9,500,5.824828914233616,450,6.296306950705392,475,5.824828914233616,450
trial_0020,0.0397164117,3.1,20,5.887705939156668,275,6.16492303780147,475,5.887705939156668,275
trial_0021,0.0397164117,3.1,50,5.855204377855573,275,6.213336740221296,475,5.855204377855573,275
trial_0022,0.0397164117,3.1,100,5.839537858963013,275,6.1804967267172675,475,5.839537858963013,275
trial_0023,0.0397164117,3.1,200,5.800459146499634,275,6.158099242619106,475,5.800459146499634,275
trial_0024,0.0397164117,3.1,500,5.832270128386361,225,6.1657916477748325,475,5.832270128386361,225
trial_0025,0.0397164117,4.366666666666667,20,5.852483630180359,450,6.164627194404602,475,5.852483630180359,450
trial_0026,0.0397164117,4.366666666666667,50,5.937997443335397,275,6.390095744814191,475,5.937997443335397,275
trial_0027,0.0397164117,4.366666666666667,100,5.836715170315334,275,6.286791290555682,475,5.836715170315334,275
trial_0028,0.0397164117,4.366666666666667,200,5.831947139331272,275,6.252570424761091,475,5.831947139331272,275
trial_0030,0.0397164117,5.633333333333333,20,5.902563384601048,275,6.41915842464992,475,5.902563384601048,275
trial_0029,0.0397164117,4.366666666666667,500,5.812177658081055,275,6.284959248134068,475,5.812177658081055,275
trial_0031,0.0397164117,5.633333333333333,50,5.909272772925241,275,6.352679082325527,475,5.909272772925241,275
trial_0032,0.0397164117,5.633333333333333,100,5.846476827348981,275,6.422511271068028,475,5.846476827348981,275
trial_0033,0.0397164117,5.633333333333333,200,5.770368541990008,275,6.375355992998395,475,5.770368541990008,275
