trial_id,inner_optimizer.lr,inner_optimizer.clipping.upper,inner_optimizer.warmup_steps,val_loss_best,val_loss_best_step,val_loss_final,val_loss_final_step,best_val_loss,best_step
trial_0002,0.2505936168,0.05,100,1.2093351483345032,475,1.2093351483345032,475,1.2093351483345032,475
trial_0001,0.2505936168,0.05,50,1.1576993209975106,475,1.1576993209975106,475,1.1576993209975106,475
trial_0000,0.2505936168,0.05,20,1.2031106523105077,450,1.2107327239853996,475,1.2031106523105077,450
trial_0003,0.2505936168,0.05,200,1.5929360900606429,475,1.5929360900606429,475,1.5929360900606429,475
trial_0004,0.2505936168,0.05,500,7.10883903503418,475,7.10883903503418,475,7.10883903503418,475
trial_0005,0.2505936168,1.1333333333333333,20,1.1321316872324263,225,1.283284306526184,475,1.1321316872324263,225
trial_0007,0.2505936168,1.1333333333333333,100,1.1195770842688424,225,1.1955674886703491,475,1.1195770842688424,225
trial_0006,0.2505936168,1.1333333333333333,50,1.1203515870230538,225,1.2166152255875724,475,1.1203515870230538,225
trial_0008,0.2505936168,1.1333333333333333,200,1.114204261984144,100,1.231403844697135,475,1.114204261984144,100
trial_0009,0.2505936168,1.1333333333333333,500,1.1045143519129073,300,1.2878118753433228,475,1.1045143519129073,300
trial_0010,0.2505936168,2.4,20,1.3231290663991655,225,1.8373102971485682,475,1.3231290663991655,225
trial_0011,0.2505936168,2.4,50,1.2351549097469874,225,1.6401467153004237,475,1.2351549097469874,225
trial_0012,0.2505936168,2.4,100,1.3804280076708113,225,2.0961962597710744,475,1.3804280076708113,225
trial_0013,0.2505936168,2.4,200,1.2167568291936601,100,1.7517240388052804,475,1.2167568291936601,100
trial_0015,0.3971641174,0.05,20,1.1418995601790292,350,1.1482614619391305,475,1.1418995601790292,350
trial_0014,0.2505936168,2.4,500,1.1066098724092757,100,1.8087090424128942,475,1.1066098724092757,100
trial_0016,0.3971641174,0.05,50,1.141169743878501,350,1.1445200443267822,475,1.141169743878501,350
trial_0017,0.3971641174,0.05,100,1.1458738190787179,475,1.1458738190787179,475,1.1458738190787179,475
trial_0018,0.3971641174,0.05,200,1.151057481765747,475,1.151057481765747,475,1.151057481765747,475
trial_0019,0.3971641174,0.05,500,1.506447093827384,475,1.506447093827384,475,1.506447093827384,475
trial_0020,0.3971641174,1.1333333333333333,20,1.298221468925476,100,1.4048905713217599,475,1.298221468925476,100
trial_0021,0.3971641174,1.1333333333333333,50,1.3225974355425154,450,1.3426029682159424,475,1.3225974355425154,450
trial_0022,0.3971641174,1.1333333333333333,100,1.3126853534153529,200,1.412595340183803,475,1.3126853534153529,200
trial_0023,0.3971641174,1.1333333333333333,200,1.1739705971309118,100,1.363251941544669,475,1.1739705971309118,100
trial_0024,0.3971641174,1.1333333333333333,500,1.125789361340659,225,1.341416256768363,475,1.125789361340659,225
trial_0026,0.3971641174,2.4,50,1.501180614743914,25,2.8006840773991177,475,1.501180614743914,25
trial_0025,0.3971641174,2.4,20,1.8182264907019479,100,2.6684975624084473,475,1.8182264907019479,100
trial_0027,0.3971641174,2.4,100,1.7047442368098669,50,2.509743400982448,475,1.7047442368098669,50
trial_0028,0.3971641174,2.4,200,1.445913859776088,100,3.0784732614244734,475,1.445913859776088,100
trial_0029,0.3971641174,2.4,500,1.1545200858797346,100,2.0689514705113004,475,1.1545200858797346,100
trial_0030,0.6294627059,0.05,20,1.130671697003501,300,1.1476142065865653,475,1.130671697003501,300
trial_0031,0.6294627059,0.05,50,1.1295061026300703,300,1.1483559693608965,475,1.1295061026300703,300
trial_0032,0.6294627059,0.05,100,1.1283032638686044,300,1.1533294575554984,475,1.1283032638686044,300
trial_0033,0.6294627059,0.05,200,1.1339903133256095,300,1.150747069290706,475,1.1339903133256095,300
trial_0035,0.6294627059,1.1333333333333333,20,1.5634464706693376,275,2.231912749154227,475,1.5634464706693376,275
trial_0034,0.6294627059,0.05,500,1.1527411256517683,475,1.1527411256517683,475,1.1527411256517683,475
trial_0036,0.6294627059,1.1333333333333333,50,1.5839095285960607,275,2.206051162311009,475,1.5839095285960607,275
trial_0037,0.6294627059,1.1333333333333333,100,1.5994312592915125,275,2.1366381474903653,475,1.5994312592915125,275
trial_0039,0.6294627059,1.1333333333333333,500,1.114646077156067,100,2.374936052731105,475,1.114646077156067,100
trial_0038,0.6294627059,1.1333333333333333,200,1.2892594167164393,100,2.2712516614368985,475,1.2892594167164393,100
trial_0040,0.6294627059,2.4,20,2.7395425864628384,100,6.133777277810233,475,2.7395425864628384,100
trial_0041,0.6294627059,2.4,50,2.304231217929295,25,5.754943932805743,475,2.304231217929295,25
trial_0042,0.6294627059,2.4,100,1.658914293561663,25,5.343606472015381,475,1.658914293561663,25
trial_0043,0.6294627059,2.4,200,1.6034429158483232,75,5.413128410066877,475,1.6034429158483232,75
trial_0044,0.6294627059,2.4,500,1.2328162959643774,100,4.12286468914577,475,1.2328162959643774,100
trial_0045,0.9976311575,0.05,20,1.1401410698890686,300,1.1526620728628976,475,1.1401410698890686,300
trial_0047,0.9976311575,0.05,100,1.1273459451539176,300,1.1469904014042445,475,1.1273459451539176,300
trial_0046,0.9976311575,0.05,50,1.127431903566633,300,1.1543463383402144,475,1.127431903566633,300
trial_0048,0.9976311575,0.05,200,1.1234222905976432,300,1.1387314200401306,475,1.1234222905976432,300
trial_0049,0.9976311575,0.05,500,1.1543006982122148,475,1.1543006982122148,475,1.1543006982122148,475
trial_0051,0.9976311575,1.1333333333333333,50,1.5667595182146346,25,3.3818832465580533,475,1.5667595182146346,25
trial_0050,0.9976311575,1.1333333333333333,20,2.2360174485615323,100,3.2099390029907227,475,2.2360174485615323,100
trial_0052,0.9976311575,1.1333333333333333,100,1.7563781227384294,50,3.1074040957859586,475,1.7563781227384294,50
trial_0053,0.9976311575,1.1333333333333333,200,1.5258850029536657,100,3.5134715352739607,475,1.5258850029536657,100
trial_0054,0.9976311575,1.1333333333333333,500,1.1848830240113395,100,2.5068217856543407,475,1.1848830240113395,100
trial_0055,0.9976311575,2.4,20,4.671660661697388,25,9.637477942875453,475,4.671660661697388,25
trial_0056,0.9976311575,2.4,50,4.540140492575509,100,13.358543600354876,475,4.540140492575509,100
trial_0057,0.9976311575,2.4,100,1.6364336354391915,25,11.690001896449498,475,1.6364336354391915,25
trial_0058,0.9976311575,2.4,200,1.7486447266169958,50,6.946963378361294,475,1.7486447266169958,50
trial_0059,0.9976311575,2.4,500,1.4079395532608032,100,7.645564828600202,475,1.4079395532608032,100
