trial_id,inner_optimizer.lr,inner_optimizer.clipping.quantile_level,inner_optimizer.clipping.quantile_lr,val_loss_best,val_loss_best_step,val_loss_final,val_loss_final_step,best_val_loss,best_step
trial_0002,0.0063095734,0.6709999999999999,0.2511886432,5.995268191610064,200,6.122774430683681,475,5.995268191610064,200
trial_0003,0.0063095734,0.7,0.0398107171,5.8613572631563455,225,5.99355639730181,475,5.8613572631563455,225
trial_0000,0.0063095734,0.6709999999999999,0.0398107171,5.89678909097399,225,6.021458080836704,475,5.89678909097399,225
trial_0001,0.0063095734,0.6709999999999999,0.1,6.236650500978742,275,6.370054687772479,475,6.236650500978742,275
trial_0004,0.0063095734,0.7,0.1,5.883645398276193,150,6.012913141931806,475,5.883645398276193,150
trial_0006,0.0063095734,0.729,0.0398107171,5.788025856018066,225,5.990534629140582,475,5.788025856018066,225
trial_0005,0.0063095734,0.7,0.2511886432,5.876504761832101,200,6.014020545142038,475,5.876504761832101,200
trial_0007,0.0063095734,0.729,0.1,5.8728117261614114,150,6.018277117184231,475,5.8728117261614114,150
trial_0008,0.0063095734,0.729,0.2511886432,5.879416295460293,200,6.025830677577427,475,5.879416295460293,200
trial_0010,0.01,0.6709999999999999,0.1,5.832998531205313,275,6.101502503667559,475,5.832998531205313,275
trial_0009,0.01,0.6709999999999999,0.0398107171,5.831837041037423,450,6.012757318360465,475,5.831837041037423,450
trial_0011,0.01,0.6709999999999999,0.2511886432,5.8509010417120795,275,6.151192137173244,475,5.8509010417120795,275
trial_0013,0.01,0.7,0.1,5.8234642914363315,275,6.106856857027326,475,5.8234642914363315,275
trial_0014,0.01,0.7,0.2511886432,5.8454252651759555,275,6.124838726861136,475,5.8454252651759555,275
trial_0012,0.01,0.7,0.0398107171,5.826968567711966,450,6.021236334528242,475,5.826968567711966,450
trial_0015,0.01,0.729,0.0398107171,5.842548557690212,450,6.0454689264297485,475,5.842548557690212,450
trial_0016,0.01,0.729,0.1,5.8121187176023215,275,6.107228602681841,475,5.8121187176023215,275
trial_0018,0.0158489319,0.6709999999999999,0.0398107171,5.814079233578274,275,6.165540950638907,475,5.814079233578274,275
trial_0019,0.0158489319,0.6709999999999999,0.1,5.816705635615757,275,6.233856235231672,475,5.816705635615757,275
trial_0017,0.01,0.729,0.2511886432,5.865068742207119,275,6.177486215318952,475,5.865068742207119,275
trial_0021,0.0158489319,0.7,0.0398107171,5.803373915808542,275,6.198482275009155,475,5.803373915808542,275
trial_0023,0.0158489319,0.7,0.2511886432,5.908712455204555,275,6.346787895475115,475,5.908712455204555,275
trial_0020,0.0158489319,0.6709999999999999,0.2511886432,5.935780797685895,275,6.342338051114764,475,5.935780797685895,275
trial_0022,0.0158489319,0.7,0.1,5.808637738227844,275,6.241405044283185,475,5.808637738227844,275
trial_0025,0.0158489319,0.729,0.1,5.81233286857605,275,6.266173328672137,475,5.81233286857605,275
trial_0024,0.0158489319,0.729,0.0398107171,5.791300977979388,275,6.196022169930594,475,5.791300977979388,275
trial_0026,0.0158489319,0.729,0.2511886432,5.923881360462734,275,6.375052894864764,475,5.923881360462734,275
